
| tags | error | The tags for operation "NetworkSecurityPerimeterAssociations_List" changed: ["NetworkSecurityPerimeterAssociations"] -> ["NspAssociations"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLinks_Get" changed: ["NetworkSecurityPerimeterLinks"] -> ["NspLinks"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLinks_CreateOrUpdate" changed: ["NetworkSecurityPerimeterLinks"] -> ["NspLinks"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLinks_Delete" changed: ["NetworkSecurityPerimeterLinks"] -> ["NspLinks"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLinks_List" changed: ["NetworkSecurityPerimeterLinks"] -> ["NspLinks"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLinkReferences_Get" changed: ["NetworkSecurityPerimeterLinkReferences"] -> ["NspLinkReferences"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLinkReferences_Delete" changed: ["NetworkSecurityPerimeterLinkReferences"] -> ["NspLinkReferences"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLinkReferences_List" changed: ["NetworkSecurityPerimeterLinkReferences"] -> ["NspLinkReferences"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLoggingConfigurations_Get" changed: ["NetworkSecurityPerimeterLoggingConfigurations"] -> ["NspLoggingConfigurations"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLoggingConfigurations_CreateOrUpdate" changed: ["NetworkSecurityPerimeterLoggingConfigurations"] -> ["NspLoggingConfigurations"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLoggingConfigurations_Delete" changed: ["NetworkSecurityPerimeterLoggingConfigurations"] -> ["NspLoggingConfigurations"] |
| tags | error | The tags for operation "NetworkSecurityPerimeterLoggingConfigurations_List" changed: ["NetworkSecurityPerimeterLoggingConfigurations"] -> ["NspLoggingConfigurations"] |
| tags | error | The tags for operation "ReachabilityAnalysisIntents_Delete" changed: ["ReachabilityAnalysisIntent"] -> ["ReachabilityAnalysisIntents"] |
| tags | error | The tags for operation "VirtualApplianceSkus_List" changed: ["VirtualApplianceSkus"] -> ["NetworkVirtualApplianceSkus"] |
| tags | error | The tags for operation "VirtualApplianceSkus_Get" changed: ["VirtualApplianceSkus"] -> ["NetworkVirtualApplianceSkus"] |
| tags | error | The tags for operation "InboundSecurityRule_CreateOrUpdate" changed: [] -> ["InboundSecurityRuleOperationGroup"] |
| tags | error | The tags for operation "InboundSecurityRule_Get" changed: [] -> ["InboundSecurityRuleOperationGroup"] |
| tags | error | The tags for operation "PacketCaptures_Create" changed: ["PacketCaptures"] -> ["NetworkWatchers"] |
| tags | error | The tags for operation "PacketCaptures_Get" changed: ["PacketCaptures"] -> ["NetworkWatchers"] |
| tags | error | The tags for operation "PacketCaptures_Delete" changed: ["PacketCaptures"] -> ["NetworkWatchers"] |
| tags | error | The tags for operation "PacketCaptures_Stop" changed: ["PacketCaptures"] -> ["NetworkWatchers"] |
| tags | error | The tags for operation "PacketCaptures_GetStatus" changed: ["PacketCaptures"] -> ["NetworkWatchers"] |
| tags | error | The tags for operation "PacketCaptures_List" changed: ["PacketCaptures"] -> ["NetworkWatchers"] |
| tags | error | The tags for operation "NetworkWatchers_SetFlowLogConfiguration" changed: ["NetworkWatchers","TrafficAnalytics"] -> ["NetworkWatchers"] |
| tags | error | The tags for operation "NetworkWatchers_GetFlowLogStatus" changed: ["NetworkWatchers","TrafficAnalytics"] -> ["NetworkWatchers"] |
| tags | error | The tags for operation "ConnectionMonitors_CreateOrUpdate" changed: ["ConnectionMonitors"] -> ["ConnectionMonitorResults"] |
| tags | error | The tags for operation "ConnectionMonitors_Get" changed: ["ConnectionMonitors"] -> ["ConnectionMonitorResults"] |
| tags | error | The tags for operation "ConnectionMonitors_Delete" changed: ["ConnectionMonitors"] -> ["ConnectionMonitorResults"] |
| tags | error | The tags for operation "ConnectionMonitors_UpdateTags" changed: ["ConnectionMonitors"] -> ["ConnectionMonitorResults"] |
| tags | error | The tags for operation "ConnectionMonitors_Stop" changed: ["ConnectionMonitors"] -> ["ConnectionMonitorResults"] |
| tags | error | The tags for operation "ConnectionMonitors_List" changed: ["ConnectionMonitors"] -> ["ConnectionMonitorResults"] |
| tags | error | The tags for operation "Operations_List" changed: [] -> ["Operations"] |
| tags | error | The tags for operation "AvailablePrivateEndpointTypes_List" changed: [] -> ["AvailablePrivateEndpointTypes"] |
| tags | error | The tags for operation "AvailablePrivateEndpointTypes_ListByResourceGroup" changed: [] -> ["AvailablePrivateEndpointTypes"] |
| tags | error | The tags for operation "PrivateDnsZoneGroups_Delete" changed: ["PrivateDnsZoneGroups"] -> ["PrivateEndpoints"] |
| tags | error | The tags for operation "PrivateDnsZoneGroups_Get" changed: ["PrivateDnsZoneGroups"] -> ["PrivateEndpoints"] |
| tags | error | The tags for operation "PrivateDnsZoneGroups_CreateOrUpdate" changed: ["PrivateDnsZoneGroups"] -> ["PrivateEndpoints"] |
| tags | error | The tags for operation "PrivateDnsZoneGroups_List" changed: ["PrivateDnsZoneGroups"] -> ["PrivateEndpoints"] |
| tags | error | The tags for operation "PrivateLinkServices_CreateOrUpdate" changed: ["PrivateLinkService"] -> ["PrivateLinkServices"] |
| tags | error | The tags for operation "PrivateLinkServices_GetPrivateEndpointConnection" changed: ["PrivateLinkServices"] -> ["PrivateEndpointConnections"] |
| tags | error | The tags for operation "PrivateLinkServices_UpdatePrivateEndpointConnection" changed: ["PrivateLinkServices"] -> ["PrivateEndpointConnections"] |
| tags | error | The tags for operation "PrivateLinkServices_DeletePrivateEndpointConnection" changed: ["PrivateLinkServices"] -> ["PrivateEndpointConnections"] |
| tags | error | The tags for operation "PrivateLinkServices_ListPrivateEndpointConnections" changed: ["PrivateLinkServices"] -> ["PrivateEndpointConnections"] |
| tags | error | The tags for operation "PublicIPAddresses_Delete" changed: ["PublicIPAddresses"] -> ["PublicIPAddressOperationGroup"] |
| tags | error | The tags for operation "PublicIPAddresses_Get" changed: ["PublicIPAddresses"] -> ["PublicIPAddressOperationGroup"] |
| tags | error | The tags for operation "PublicIPAddresses_CreateOrUpdate" changed: ["PublicIPAddresses"] -> ["PublicIPAddressOperationGroup"] |
| tags | error | The tags for operation "PublicIPAddresses_UpdateTags" changed: ["PublicIPAddresses"] -> ["PublicIPAddressOperationGroup"] |
| tags | error | The tags for operation "PublicIPAddresses_ListAll" changed: ["PublicIPAddresses"] -> ["PublicIPAddressOperationGroup"] |
| tags | error | The tags for operation "PublicIPAddresses_List" changed: ["PublicIPAddresses"] -> ["PublicIPAddressOperationGroup"] |
| tags | error | The tags for operation "PublicIPAddresses_DdosProtectionStatus" changed: ["PublicIPAddresses"] -> ["PublicIPAddressOperationGroup"] |
| tags | error | The tags for operation "PublicIPAddresses_ReserveCloudServicePublicIpAddress" changed: ["PublicIPAddresses"] -> ["PublicIPAddressOperationGroup"] |
| tags | error | The tags for operation "PublicIPAddresses_DisassociateCloudServiceReservedPublicIp" changed: ["PublicIPAddresses"] -> ["PublicIPAddressOperationGroup"] |
| tags | error | The tags for operation "RouteFilterRules_Delete" changed: ["RouteFilterRules"] -> ["RouteFilters"] |
| tags | error | The tags for operation "RouteFilterRules_Get" changed: ["RouteFilterRules"] -> ["RouteFilters"] |
| tags | error | The tags for operation "RouteFilterRules_CreateOrUpdate" changed: ["RouteFilterRules"] -> ["RouteFilters"] |
| tags | error | The tags for operation "RouteFilterRules_ListByRouteFilter" changed: ["RouteFilterRules"] -> ["RouteFilters"] |
| tags | error | The tags for operation "ServiceEndpointPolicyDefinitions_Get" changed: ["serviceEndpointPolicyDefinitions"] -> ["ServiceEndpointPolicyDefinitions"] |
| tags | error | The tags for operation "ServiceEndpointPolicyDefinitions_CreateOrUpdate" changed: ["serviceEndpointPolicyDefinitions"] -> ["ServiceEndpointPolicyDefinitions"] |
| tags | error | The tags for operation "ServiceTags_List" changed: [] -> ["ServiceTags"] |
| tags | error | The tags for operation "ServiceTagInformation_List" changed: [] -> ["ServiceTagInformation"] |
| tags | error | The tags for operation "Subnets_PrepareNetworkPolicies" changed: [] -> ["Subnets"] |
| tags | error | The tags for operation "Subnets_UnprepareNetworkPolicies" changed: [] -> ["Subnets"] |
| tags | error | The tags for operation "ResourceNavigationLinks_List" changed: [] -> ["Subnets"] |
| tags | error | The tags for operation "ServiceAssociationLinks_List" changed: [] -> ["Subnets"] |
| tags | error | The tags for operation "VirtualNetworks_CheckIPAddressAvailability" changed: [] -> ["VirtualNetworks"] |
| tags | error | The tags for operation "VirtualNetworks_ListUsage" changed: [] -> ["VirtualNetworks"] |
| tags | error | The tags for operation "VirtualNetworks_ListDdosProtectionStatus" changed: [] -> ["VirtualNetworks"] |
| tags | error | The tags for operation "VirtualNetworkGateways_VpnDeviceConfigurationScript" changed: ["VirtualNetworkGateways"] -> ["VirtualNetworkGatewayConnections"] |
| tags | error | The tags for operation "VirtualNetworkGatewayNatRules_Get" changed: [] -> ["VirtualNetworkGatewayNatRules"] |
| tags | error | The tags for operation "VirtualNetworkGatewayNatRules_CreateOrUpdate" changed: [] -> ["VirtualNetworkGatewayNatRules"] |
| tags | error | The tags for operation "VirtualNetworkGatewayNatRules_Delete" changed: [] -> ["VirtualNetworkGatewayNatRules"] |
| tags | error | The tags for operation "VirtualNetworkGatewayNatRules_ListByVirtualNetworkGateway" changed: [] -> ["VirtualNetworkGatewayNatRules"] |
| tags | error | The tags for operation "VirtualNetworkGateways_InvokePrepareMigration" changed: [] -> ["VirtualNetworkGateways"] |
| tags | error | The tags for operation "VirtualNetworkGateways_InvokeExecuteMigration" changed: [] -> ["VirtualNetworkGateways"] |
| tags | error | The tags for operation "VirtualNetworkGateways_InvokeCommitMigration" changed: [] -> ["VirtualNetworkGateways"] |
| tags | error | The tags for operation "VirtualNetworkGateways_InvokeAbortMigration" changed: [] -> ["VirtualNetworkGateways"] |
| tags | error | The tags for operation "VirtualNetworkTaps_Delete" changed: ["VirtualNetworkTap"] -> ["VirtualNetworkTaps"] |
