
| tags | error | The tags for operation "VpnServerConfigurations_Delete" changed: [] -> ["VpnServerConfigurations"] |
| tags | error | The tags for operation "VpnServerConfigurations_ListByResourceGroup" changed: [] -> ["VpnServerConfigurations"] |
| tags | error | The tags for operation "ConfigurationPolicyGroups_CreateOrUpdate" changed: [] -> ["VpnServerConfigurationPolicyGroups"] |
| tags | error | The tags for operation "ConfigurationPolicyGroups_Delete" changed: [] -> ["VpnServerConfigurationPolicyGroups"] |
| tags | error | The tags for operation "ConfigurationPolicyGroups_Get" changed: [] -> ["VpnServerConfigurationPolicyGroups"] |
| tags | error | The tags for operation "VpnServerConfigurations_List" changed: [] -> ["VpnServerConfigurations"] |
| tags | error | The tags for operation "VirtualHubs_Get" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "VirtualHubs_CreateOrUpdate" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "VirtualHubs_Delete" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "VirtualHubs_ListByResourceGroup" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "VirtualHubs_List" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "RouteMaps_Get" changed: [] -> ["RouteMaps"] |
| tags | error | The tags for operation "RouteMaps_CreateOrUpdate" changed: [] -> ["RouteMaps"] |
| tags | error | The tags for operation "RouteMaps_Delete" changed: [] -> ["RouteMaps"] |
| tags | error | The tags for operation "RouteMaps_List" changed: [] -> ["RouteMaps"] |
| tags | error | The tags for operation "VpnGateways_Get" changed: [] -> ["VpnGateways"] |
| tags | error | The tags for operation "VpnGateways_CreateOrUpdate" changed: [] -> ["VpnGateways"] |
| tags | error | The tags for operation "VpnGateways_Delete" changed: [] -> ["VpnGateways"] |
| tags | error | The tags for operation "VpnLinkConnections_GetAllSharedKeys" changed: [] -> ["ConnectionSharedKeyResults"] |
| tags | error | The tags for operation "VpnLinkConnections_GetDefaultSharedKey" changed: [] -> ["ConnectionSharedKeyResults"] |
| tags | error | The tags for operation "VpnLinkConnections_SetOrInitDefaultSharedKey" changed: [] -> ["ConnectionSharedKeyResults"] |
| tags | error | The tags for operation "VpnLinkConnections_ListDefaultSharedKey" changed: [] -> ["ConnectionSharedKeyResults"] |
| tags | error | The tags for operation "VpnGateways_ListByResourceGroup" changed: [] -> ["VpnGateways"] |
| tags | error | The tags for operation "VpnGateways_List" changed: [] -> ["VpnGateways"] |
| tags | error | The tags for operation "VpnSiteLinkConnections_Get" changed: [] -> ["VpnSiteLinkConnections"] |
| tags | error | The tags for operation "VpnLinkConnections_GetIkeSas" changed: [] -> ["VpnSiteLinkConnections"] |
| tags | error | The tags for operation "VpnLinkConnections_ListByVpnConnection" changed: [] -> ["VpnSiteLinkConnections"] |
| tags | error | The tags for operation "NatRules_Get" changed: [] -> ["VpnGatewayNatRules"] |
| tags | error | The tags for operation "NatRules_CreateOrUpdate" changed: [] -> ["VpnGatewayNatRules"] |
| tags | error | The tags for operation "NatRules_Delete" changed: [] -> ["VpnGatewayNatRules"] |
| tags | error | The tags for operation "NatRules_ListByVpnGateway" changed: [] -> ["VpnGatewayNatRules"] |
| tags | error | The tags for operation "P2sVpnGateways_Get" changed: [] -> ["P2SVpnGateways"] |
| tags | error | The tags for operation "P2sVpnGateways_CreateOrUpdate" changed: [] -> ["P2SVpnGateways"] |
| tags | error | The tags for operation "P2sVpnGateways_Delete" changed: [] -> ["P2SVpnGateways"] |
| tags | error | The tags for operation "P2sVpnGateways_ListByResourceGroup" changed: [] -> ["P2SVpnGateways"] |
